Id,Name,BackgroundColor,TextColor,IsPublic
69928,Advanced Invitational Group,#d6353b,#ffffff,True
69929,Invitation Only Group,#95002a,#ffffff,True
40425,Advanced,#121312,#ffffff,True
58121,Advanced AM,#0c0c0c,#ffffff,True
51727,3.75-4.25+ COMBINED OPEN PLAY,#51074a,#ffffff,True
47676,Low Advanced,#51074a,#ffffff,True
58122,Low Advanced AM,#51074a,#ffffff,True
51726,3.0-3.5+ COMBINED OPEN PLAY,#d69cbc,#0a0909,True
40471, High Intermediate,#d69cbc,#1a1919,True
58123,High Intermediate AM,#d69cbc,#000000,True
51916,2.5-3.0  Combined Open Play,#ffd3b6,#0a0a0a,True
40472,Intermediate,#ffd3b6,#171717,True
40470,Advanced Beginner,#dcedc1,#000000,True
61862,Beginner Open Play,#dcedc1,#000000,True
46559,Guided Beginner Social,#a8e6cf,#000000,True
47008,Fundamentals of Pickleball,#a8e6cf,#000000,True
61814,Intro to Pickleball,#a8e6cf,#000000,True
53028,All Levels w/ Challenge Court,#74d600,#000000,True
58124,All Level Open Play - Weekday,#74d600,#000000,True
61832,Pickle Jar Tournaments,#adff00,#0e0e0e,True
45135,Tournament,#f6001d,#000000,True
46821,Closed Courts,#707070,#f8eeee,True
48032,Private Event,#a51662,#ffffff,True
57525,Contract Time,#a51662,#ffffff,True
53679,Corporate Event,#a51662,#ffffff,True
40475,Leagues ,#11e2bb,#0f0f0f,True
51948,Big Dill Ladder League,#11e2bb,#000000,True
61815,Cardio x Pickleball,#f102c1,#ffffff,True
57802,Dinks and Drinks,#f102c1,#ffffff,True
51017,Cross Club Events,#eae323,#100f0f,True
53106,Cross Club Practice,#eae323,#000000,True
63130,David L Coached Clinic,#1ba1e2,#ffffff,True
50492,Rich L Coached Clinics,#1ba1e2,#ffffff,True
65859,Carolyn D Coached Clinic,#1ba1e2,#ffffff,True
68182,Barry F Coached Clinic,#1ba1e2,#ffffff,True
65804,Kids Summer Camp,#e74c6b,#000000,True
65806,Highschool Open Play,#3439cc,#f7f6f6,True
65805,Annual Members Party,#adff00,#000000,True
65425,Club Championship,#adff00,#000000,True
73302,Rondot Championship Cup,#9b00f4,#ffffff,True
77584,Pickle Jar Paddle Raffle,#adff00,#000000,True
78597,Big Shot Pickleball,#053fff,#ffffff,True
